"","CompGroup.x.","BaseGroup.Y.","NumSamplesInCompGrp","NumSamplesInBaseGrp","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanX","MeanY","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"202555_s_at|MYLK","EGradeIII-IV","EGradeI-II",16,6,-1.90191857019237,-4.8733204792463,19.6624631032672,9.62903508491864e-05,-1.32487845152933,-0.530032506803998,9.0808581875,10.0083136666667,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"203987_at|FZD6","EGradeIII-IV","EGradeI-II",16,6,1.7818794659315,4.46261654146015,18.2305191113884,0.000292419333759817,0.441404992204413,1.22539450779559,6.78126925,5.9478695,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"239512_at|SRSF4","EGradeIII-IV","EGradeI-II",16,6,1.65336643036594,4.31916684366281,19.9882884738473,0.000333979186342699,0.375054606339996,1.07575839366,5.1632415,4.437835,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"233063_s_at|GMDS-DT","EGradeIII-IV","EGradeI-II",16,6,1.60262910590701,4.08656048922229,19.7164508350269,0.000589087459393435,0.332792746761818,1.02808841990485,4.91382225,4.23338166666667,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"210910_s_at|POMZP3","EGradeIII-IV","EGradeI-II",16,6,1.52498038638804,4.12156118961184,17.9335040324403,0.000645132159562944,0.298383601511529,0.919197773488471,5.2774921875,4.6687015,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"1555960_at|HINT1","EGradeIII-IV","EGradeI-II",16,6,1.73510227453276,4.01232589125424,18.5221734927476,0.000777909251879839,0.379573978371677,1.21046742978581,6.90032619646734,6.1053054923886,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"231252_at|KANSL1L","EGradeIII-IV","EGradeI-II",16,6,1.65807929146618,3.99738065218135,18.8363304194986,0.000782076348593972,0.347316044788195,1.11170995521181,6.0934035,5.3638905,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"204540_at|EEF1A2","EGradeIII-IV","EGradeI-II",16,6,3.07078183874791,3.98062206018686,18.5054010344576,0.000836894402450573,0.765995515011468,2.4712165266552,6.7660376875,5.14743166666667,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"1568865_at|FNTB","EGradeIII-IV","EGradeI-II",16,6,1.79811582972732,4.08790728783685,15.3928701205689,0.000923099420324894,0.406104246197166,1.2868676704695,4.234246625,3.38776066666667,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"227471_at|HACE1","EGradeIII-IV","EGradeI-II",16,6,1.56312411255467,3.86027385126364,19.9302533116174,0.000980331145477735,0.296124418701126,0.992740247965541,5.725018,5.08058566666667,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"205150_s_at|TRIL","EGradeIII-IV","EGradeI-II",16,6,-1.6119420451957,-4.22328209947809,12.6746932418287,0.00105079088439606,-1.0420685732378,-0.335531176762199,3.748821625,4.4376215,0,"two.sided","Welch Two Sample t-test",0.957819246748831
